NDB_NO,Description,Fat (g),Fiber (g),Sugars (g),Energy (kcal),Carbohydrate (g),Protein (g),Calcium (mg),Iron (mg),Vitamin C (mg),,,,
11717,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, with salt",0.34,5.3,1.34,103,19.32,6.07,30,1.82,12.8,,,,
11038,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",0.34,5.3,1.34,103,19.32,6.07,30,1.82,12.8,,,,
11037,"Lima beans, immature seeds, frozen, fordhook, unprepared",0.35,5.5,1.39,106,19.83,6.4,24,1.51,19.3,,,,
11031,"Lima beans, immature seeds, raw",0.86,4.9,1.48,113,20.17,6.84,34,3.14,23.4,,,,
16372,"Lima beans, large, mature seeds, cooked, boiled, with salt",0.38,7,2.9,115,20.88,7.8,17,2.39,0,,,,
16072,"Lima beans, large, mature seeds, cooked, boiled, without salt",0.38,7,2.9,115,20.88,7.8,17,2.39,0,,,,
16071,"Lima beans, large, mature seeds, raw",0.69,19,8.5,338,63.38,21.46,81,7.51,0,,,,
16074,"Lima beans, thin seeded (baby), mature seeds, raw",0.93,20.6,8.32,335,62.83,20.62,81,6.19,0,,,,
9161,"Lime juice, canned or bottled, unsweetened",0.23,0.4,1.37,21,6.69,0.25,12,0.23,6.4,,,,
9160,"Lime juice, raw",0.07,0.4,1.69,25,8.42,0.42,14,0.09,30,,,,
9159,"Limes, raw",0.2,2.8,1.69,30,10.54,0.7,33,0.6,29.1,,,,
9165,"Litchis, dried",1.2,4.6,66.1,277,70.7,3.8,33,1.7,183,,,,
9164,"Litchis, raw",0.44,1.3,15.23,66,16.53,0.83,5,0.31,71.5,,,,
9167,"Loganberries, frozen",0.31,5.3,7.7,55,13.02,1.52,26,0.64,15.3,,,,
16506,"LOMA LINDA Vege-Burger, canned, unprepared",1.2,2.6,0.8,114,3.7,22.2,16,1.7,0,,,,
11255,"Lotus root, cooked, boiled, drained, without salt",0.07,3.1,0.5,66,16.02,1.58,26,0.9,27.4,,,,
43131,"Luncheon slices, meatless",11.11,1.1,2.22,189,4.44,17.78,41,1.8,0,,,,
20106,"Macaroni, vegetable, enriched, cooked",0.11,4.3,1.15,128,26.61,4.53,11,0.49,0,,,,
9436,"Mango nectar, canned",0.06,0.3,12.45,51,13.12,0.11,17,0.36,15.2,,,,
9176,"Mangos, raw",0.38,1.6,13.66,60,14.98,0.82,11,0.16,36.4,,,,
9328,"Maraschino cherries, canned, drained",0.21,3.2,38.77,165,41.97,0.22,54,0.43,0,,,,
9181,"Melons, cantaloupe, raw",0.19,0.9,7.86,34,8.16,0.84,9,0.21,36.7,,,,
9183,"Melons, casaba, raw",0.1,0.9,5.69,28,6.58,1.11,11,0.34,21.8,,,,
9184,"Melons, honeydew, raw",0.14,0.8,8.12,36,9.09,0.54,6,0.17,18,,,,
20647,Millet flour,4.25,3.5,1.66,382,75.12,10.75,14,3.94,0,,,,
20032,"Millet, cooked",1,1.3,0.13,119,23.67,3.51,3,0.63,0,,,,
16112,Miso,6.01,5.4,6.2,198,25.37,12.79,57,2.49,0,,,,
16163,"MORI-NU, Tofu, silken, extra firm",1.9,0.1,0.99,55,2,7.4,31,1.19,0,,,,
16162,"MORI-NU, Tofu, silken, firm",2.7,0.1,1.27,62,2.4,6.9,32,1.03,0,,,,
16165,"MORI-NU, Tofu, silken, lite extra firm",0.7,0,0.42,38,1,7,43,0.79,0,,,,
16164,"MORI-NU, Tofu, silken, lite firm",0.8,0,0.45,37,1.1,6.3,36,0.75,0,,,,
16161,"MORI-NU, Tofu, silken, soft",2.7,0.1,1.31,55,2.9,4.8,31,0.82,0,,,,
16551,"MORNINGSTAR FARMS Asian Veggie Patties, frozen, unprepared",6.2,5.1,5,158,18.2,11.4,62,1.5,0,,,,
16538,"MORNINGSTAR FARMS Breakfast Pattie with Organic Soy, frozen, unprepared",8.3,7.6,2.2,220,12.6,23.7,60,1.9,0,,,,
22123,"MORNINGSTAR FARMS Spicy Black Bean Burger, frozen, unprepared",6.1,6,1.8,168,19.1,14.6,91,2,0,,,,
16617,"MORNINGSTAR FARMS Spicy Black Bean Enchilada Entree, frozen, unprepared",5.2,2.6,1.8,123,15.9,5.8,69,1.1,0,,,,
16618,"MORNINGSTAR FARMS Spicy Indian Veggie Burger, frozen, unprepared",11.6,7.8,2.2,189,17,9.2,87,2.1,0,,,,
16554,"MORNINGSTAR FARMS Tomato  &  Basil Pizza Burger, frozen, unprepared",8.6,9.1,2.6,161,14,15.5,174,1.7,0,,,,
16619,"MORNINGSTAR FARMS Tuscan Greens  &  Beans, frozen, unprepared",6.3,3.8,2.3,112,11.7,5.9,99,1.4,0,,,,
22119,"MORNINGSTAR FARMS Veggie Dog, frozen, unprepared",1.3,2.3,4.4,126,11.2,17.4,19,1.2,0,,,,
11258,"Mountain yam, hawaii, raw",0.1,2.5,0.31,67,16.3,1.34,26,0.44,2.6,,,,
9190,"Mulberries, raw",0.39,1.7,8.1,43,9.8,1.44,39,1.85,36.4,,,,
16381,"Mung beans, mature seeds, cooked, boiled, with salt",0.38,7.6,2,105,19.15,7.02,27,1.4,1,,,,
16081,"Mung beans, mature seeds, cooked, boiled, without salt",0.38,7.6,2,105,19.15,7.02,27,1.4,1,,,,
16080,"Mung beans, mature seeds, raw",1.15,16.3,6.6,347,62.62,23.86,132,6.74,4.8,,,,
11718,"Mung beans, mature seeds, sprouted, cooked, boiled, drained, with salt",0.09,0.8,2.84,19,3.6,2.03,12,0.65,11.4,,,,
11044,"Mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",0.09,0.8,2.84,21,4.19,2.03,12,0.65,11.4,,,,
11043,"Mung beans, mature seeds, sprouted, raw",0.18,1.8,4.13,30,5.94,3.04,13,0.91,13.2,,,,
16384,"Mungo beans, mature seeds, cooked, boiled, with salt",0.55,6.4,2.01,105,18.34,7.54,53,1.75,1,,,,
16084,"Mungo beans, mature seeds, cooked, boiled, without salt",0.55,6.4,2.01,105,18.34,7.54,53,1.75,1,,,,
11938,"Mushroom, white, exposed to ultraviolet light, raw",0.34,1,1.98,22,3.26,3.09,3,0.5,2.1,,,,
11936,"Mushrooms, brown, italian, or crimini, exposed to ultraviolet light, raw",0.1,0.6,1.72,22,4.3,2.5,18,0.4,0,,,,
11266,"Mushrooms, brown, italian, or crimini, raw",0.1,0.6,1.72,22,4.3,2.5,18,0.4,0,,,,
11264,"Mushrooms, canned, drained solids",0.29,2.4,2.34,25,5.09,1.87,11,0.79,0,,,,
11993,"Mushrooms, maitake, raw",0.19,2.7,2.07,31,6.97,1.94,1,0.3,0,,,,
11987,"Mushrooms, oyster, raw",0.41,2.3,1.11,33,6.09,3.31,3,1.33,0,,,,
11939,"Mushrooms, portabella, exposed to ultraviolet light, grilled",0.58,2.2,2.26,29,4.44,3.28,3,0.4,0,,,,
11998,"Mushrooms, portabella, exposed to ultraviolet light, raw",0.35,1.3,2.5,22,3.87,2.11,3,0.31,0,,,,
11243,"Mushrooms, portabella, grilled",0.58,2.2,2.26,29,4.44,3.28,3,0.4,0,,,,
11265,"Mushrooms, portabella, raw",0.35,1.3,2.5,22,3.87,2.11,3,0.31,0,,,,
11798,"Mushrooms, shiitake, cooked, with salt",0.22,2.1,3.84,56,14.39,1.56,3,0.44,0.3,,,,
11269,"Mushrooms, shiitake, cooked, without salt",0.22,2.1,3.84,56,14.39,1.56,3,0.44,0.3,,,,
11268,"Mushrooms, shiitake, dried",0.99,11.5,2.21,296,75.37,9.58,11,1.72,3.5,,,,
11267,"Mushrooms, shiitake, stir-fried",0.35,3.6,0.3,39,7.68,3.45,2,0.53,0,,,,
11797,"Mushrooms, white, cooked, boiled, drained, with salt",0.47,2.2,2.34,28,5.29,2.17,6,1.74,4,,,,
11261,"Mushrooms, white, cooked, boiled, drained, without salt",0.47,2.2,2.34,28,5.29,2.17,6,1.74,4,,,,
11260,"Mushrooms, white, raw",0.34,1,1.98,22,3.26,3.09,3,0.5,2.1,,,,
11263,"Mushrooms, white, stir-fried",0.33,1.8,0,26,4.04,3.58,4,0.25,0,,,,
11799,"Mustard greens, cooked, boiled, drained, with salt",0.47,2,1.41,26,4.51,2.56,118,0.87,25.3,,,,
11271,"Mustard greens, cooked, boiled, drained, without salt",0.47,2,1.41,26,4.51,2.56,118,0.87,25.3,,,,
11800,"Mustard greens, frozen, cooked, boiled, drained, with salt",0.25,2.8,0.32,19,3.11,2.27,101,1.12,13.8,,,,
11273,"Mustard greens, frozen, cooked, boiled, drained, without salt",0.25,2.8,0.32,19,3.11,2.27,101,1.12,13.8,,,,
11270,"Mustard greens, raw",0.42,3.2,1.32,27,4.67,2.86,115,1.64,70,,,,
9448,"Nance, canned, syrup, drained",1.28,7,15.66,95,22.79,0.56,42,0.37,10.8,,,,
9449,"Nance, frozen, unsweetened",1.16,7.5,8.31,73,16.97,0.66,46,0.38,92.5,,,,
9450,"Naranjilla (lulo) pulp, frozen, unsweetened",0.22,1.1,3.74,25,5.9,0.44,8,0.35,3.2,,,,
16113,Natto,11,5.4,4.89,211,12.68,19.4,217,8.6,13,,,,
9191,"Nectarines, raw",0.32,1.7,7.89,44,10.55,1.06,6,0.28,5.4,,,,
11802,"New zealand spinach, cooked, boiled, drained, with salt",0.17,1.4,0.25,12,2.13,1.3,48,0.66,16,,,,
11277,"New Zealand spinach, cooked, boiled, drained, without salt",0.17,1.4,0.25,12,2.13,1.3,48,0.66,16,,,,
11276,"New Zealand spinach, raw",0.2,1.5,0.29,14,2.5,1.5,58,0.8,30,,,,
16082,"Noodles, chinese, cellophane or long rice (mung beans), dehydrated",0.06,0.5,0,351,86.09,0.16,25,2.17,0,,,,
20118,"Noodles, flat, crunchy, Chinese restaurant",31.72,1.9,0.25,521,51.9,10.33,21,1.76,0,,,,
11964,"Nopales, cooked, without salt",0.05,2,1.12,15,3.28,1.35,164,0.5,5.3,,,,
11963,"Nopales, raw",0.09,2.2,1.15,16,3.33,1.32,164,0.59,9.3,,,,
1250,"Nutritional supplement for people with diabetes, liquid",3.08,2.2,2.64,88,11.88,4.4,110,1.98,26.4,,,,
20033,"Oat bran, raw",7.03,15.4,1.45,246,66.22,17.3,58,5.41,0,,,,
20132,"Oat flour, partially debranned",9.12,6.5,0.8,404,65.7,14.66,55,4,0,,,,
11803,"Okra, cooked, boiled, drained, with salt",0.21,2.5,2.4,22,4.51,1.87,77,0.28,16.3,,,,
11279,"Okra, cooked, boiled, drained, without salt",0.21,2.5,2.4,22,4.51,1.87,77,0.28,16.3,,,,
11804,"Okra, frozen, cooked, boiled, drained, with salt",0.24,2.1,2.87,34,6.41,1.63,74,0.52,9.6,,,,
11281,"Okra, frozen, cooked, boiled, drained, without salt",0.24,2.1,2.87,29,6.41,1.63,74,0.52,9.6,,,,
11280,"Okra, frozen, unprepared",0.25,2.2,2.97,30,6.63,1.69,81,0.57,12.4,,,,
11278,"Okra, raw",0.19,3.2,1.48,33,7.45,1.93,82,0.62,23,,,,
9195,"Olives, pickled, canned or bottled, green",15.32,3.3,0.54,145,3.84,1.03,52,0.49,0,,,,
9194,"Olives, ripe, canned (jumbo-super colossal)",6.87,2.5,0,81,5.61,0.97,94,3.32,1.5,,,,
9193,"Olives, ripe, canned (small-extra large)",10.68,3.2,0,115,6.26,0.84,88,3.3,0.9,,,,
11296,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",14.3,2.2,5.1,276,33.79,4.14,31,1.25,1.6,,,,
11285,"Onions, canned, solids and liquids",0.09,1.2,2.2,19,4.02,0.85,45,0.13,4.3,,,,
11805,"Onions, cooked, boiled, drained, with salt",0.19,1.4,4.73,42,9.56,1.36,22,0.24,5.2,,,,
11283,"Onions, cooked, boiled, drained, without salt",0.19,1.4,4.73,44,10.15,1.36,22,0.24,5.2,,,,
11284,"Onions, dehydrated flakes",0.46,9.2,37.41,349,83.28,8.95,257,1.55,75,,,,
11806,"Onions, frozen, chopped, cooked, boiled, drained, with salt",0.1,1.7,2.9,26,6,0.77,16,0.3,2.6,,,,
11288,"Onions, frozen, chopped, cooked, boiled, drained, without salt",0.1,1.8,2.9,28,6.59,0.77,16,0.3,2.6,,,,
11807,"Onions, frozen, whole, cooked, boiled, drained, with salt",0.05,1.4,2.9,26,6.11,0.71,27,0.34,5.1,,,,
11290,"Onions, frozen, whole, cooked, boiled, drained, without salt",0.05,1.4,2.9,28,6.7,0.71,27,0.34,5.1,,,,
11289,"Onions, frozen, whole, unprepared",0.06,1.7,3.81,35,8.45,0.89,36,0.46,8,,,,
11282,"Onions, raw",0.1,1.7,4.24,40,9.34,1.1,23,0.21,7.4,,,,
11291,"Onions, spring or scallions (includes tops and bulb), raw",0.19,2.6,2.33,32,7.34,1.83,72,1.48,18.8,,,,
11294,"Onions, sweet, raw",0.08,0.9,5.02,32,7.55,0.8,20,0.26,4.8,,,,
11292,"Onions, young green, tops only",0.47,1.8,3.91,27,5.74,0.97,52,0.51,13.4,,,,
9207,"Orange juice, canned, unsweetened",0.15,0.3,8.76,47,11.01,0.68,10,0.1,30.1,,,,
9209,"Orange juice, chilled, includes from concentrate",0.12,0.3,8.31,49,11.54,0.68,11,0.13,33.6,,,,
9211,"Orange juice, chilled, includes from concentrate, with added calcium",0.12,0.3,8.31,47,11.27,0.68,140,0.13,33.6,,,,
9210,"Orange juice, chilled, includes from concentrate, with added calcium and vitamin D",0.12,0.3,8.31,47,11.27,0.68,140,0.13,33.6,,,,
9506,"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",0.12,0.3,8.31,49,11.54,0.68,146,0.13,33.6,,,,
9215,"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water",0.06,0.2,7.42,37,8.8,0.6,12,0.08,36.2,,,,
9212,"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added calcium",0.06,0.2,7.42,37,8.47,0.6,147,0.08,36.2,,,,
9214,"Orange juice, frozen concentrate, unsweetened, undiluted",0.25,1,29.68,148,35.19,2.4,38,0.33,144.8,,,,
9213,"Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium",0.25,1,29.68,147,33.86,2.4,578,0.33,144.8,,,,
9452,Orange Pineapple Juice Blend,0.08,0.2,10.57,51,12.2,0.41,8,0.18,40.7,,,,
9200,"Oranges, raw, all commercial varieties",0.12,2.4,9.35,47,11.75,0.94,40,0.1,53.2,,,,
9203,"Oranges, raw, Florida",0.21,2.4,9.14,46,11.54,0.7,43,0.09,45,,,,
9202,"Oranges, raw, navels",0.15,2.2,8.5,49,12.54,0.91,43,0.13,59.1,,,,
16203,"PACE, Salsa Refried Beans",0,3.3,3.33,60,11.67,3.33,33,0.9,0,,,,
16204,"PACE, Spicy Jalapeno Refried Beans",0,4.2,3.33,63,11.67,4.17,33,0.9,0,,,,
16202,"PACE, Traditional Refried Beans",0,4.2,2.5,67,10.83,4.17,33,0.9,0,,,,
9229,"Papaya nectar, canned",0.15,0.6,13.91,57,14.51,0.17,10,0.34,3,,,,
9228,"Papaya, canned, heavy syrup, drained",0.55,1.5,52.2,206,55.83,0.14,21,0.29,3.5,,,,
9226,"Papayas, raw",0.26,1.7,7.82,43,10.82,0.47,20,0.25,60.9,,,,
11297,"Parsley, fresh",0.79,3.3,0.85,36,6.33,2.97,138,6.2,133,,,,
11808,"Parsnips, cooked, boiled, drained, with salt",0.3,4,4.8,71,17.01,1.32,37,0.58,13,,,,
11299,"Parsnips, cooked, boiled, drained, without salt",0.3,3.6,4.8,71,17.01,1.32,37,0.58,13,,,,
11298,"Parsnips, raw",0.3,4.9,4.8,75,17.99,1.2,36,0.59,17,,,,
9232,"Passion-fruit juice, purple, raw",0.05,0.2,13.4,51,13.6,0.39,4,0.24,29.8,,,,
9233,"Passion-fruit juice, yellow, raw",0.18,0.2,14.25,60,14.45,0.67,4,0.36,18.2,,,,
9231,"Passion-fruit, (granadilla), purple, raw",0.7,10.4,11.2,97,23.38,2.2,12,1.6,30,,,,
20321,"Pasta, cooked, enriched, with added salt",0.93,1.8,0.56,157,30.59,5.8,7,1.28,0,,,,
20121,"Pasta, cooked, enriched, without added salt",0.93,1.8,0.56,158,30.86,5.8,7,1.28,0,,,,
20521,"Pasta, cooked, unenriched, with added salt",0.93,1.8,0.56,157,30.59,5.8,7,0.5,0,,,,
20421,"Pasta, cooked, unenriched, without added salt",0.93,1.8,0.56,158,30.86,5.8,7,0.5,0,,,,
20120,"Pasta, dry, enriched",1.51,3.2,2.67,371,74.67,13.04,21,3.3,0,,,,
20420,"Pasta, dry, unenriched",1.51,3.2,2.67,371,74.67,13.04,21,1.3,0,,,,
20654,"Pasta, gluten-free, brown rice flour, cooked, TINKYADA",1.67,1.7,0,138,32.2,3.46,5,0.53,0,,,,
20657,"Pasta, gluten-free, corn and rice flour, cooked",1,1.4,0,179,38.05,3.2,2,0.22,0,,,,
20655,"Pasta, gluten-free, corn flour and quinoa flour, cooked, ANCIENT HARVEST",2.07,3.3,0.3,152,31.11,3.23,7,0.72,0,,,,
20656,"Pasta, gluten-free, rice flour and rice bran extract, cooked, DE BOLES",1.7,1.9,0,200,40.75,4.21,21,0.62,0,,,,
20125,"Pasta, whole-wheat, cooked",1.71,3.9,0.75,149,30.07,5.99,13,1.72,0,,,,
9407,"Peach nectar, canned, with added ascorbic acid",0.02,0.6,12.35,54,13.92,0.27,5,0.19,17.6,,,,
9251,"Peach nectar, canned, without added ascorbic acid",0.02,0.6,13.32,54,13.92,0.27,5,0.19,5.3,,,,
9241,"Peaches, canned, heavy syrup pack, solids and liquids",0.1,1.3,18.64,74,19.94,0.45,3,0.27,2.8,,,,
9370,"Peaches, canned, heavy syrup, drained",0.18,1.2,14.66,72,18.43,0.52,3,0.27,0.7,,,,
9238,"Peaches, canned, juice pack, solids and liquids",0.03,1.3,10.27,44,11.57,0.63,6,0.27,3.6,,,,
9240,"Peaches, canned, light syrup pack, solids and liquids",0.03,1.3,13.25,54,14.55,0.45,3,0.36,2.4,,,,
9237,"Peaches, canned, water pack, solids and liquids",0.06,1.3,4.81,24,6.11,0.44,2,0.32,2.9,,,,
9247,"Peaches, dried, sulfured, stewed, without added sugar",0.25,2.7,16.99,77,19.69,1.16,9,1.31,3.7,,,,
9246,"Peaches, dried, sulfured, uncooked",0.76,8.2,41.74,239,61.33,3.61,28,4.06,4.8,,,,
9250,"Peaches, frozen, sliced, sweetened",0.13,1.8,22.18,94,23.98,0.63,3,0.37,94.2,,,,
9243,"Peaches, spiced, canned, heavy syrup pack, solids and liquids",0.1,1.3,18.78,75,20.08,0.41,6,0.28,5.3,,,,
9236,"Peaches, yellow, raw",0.25,1.5,8.39,39,9.54,0.91,6,0.25,6.6,,,,
16097,"Peanut butter, chunk style, with salt",49.94,8,8.41,589,21.57,24.06,45,1.9,0,,,,
16397,"Peanut butter, chunk style, without salt",49.94,8,8.41,589,21.57,24.06,45,1.9,0,,,,
16156,"Peanut butter, chunky, vitamin and mineral fortified",51.47,5.7,10.94,593,17.69,26.06,45,17.5,0,,,,
42291,"Peanut butter, reduced sodium",49.9,6.6,9.29,590,21.83,24,41,1.9,0,,,,
16098,"Peanut butter, smooth style, with salt",51.36,5,10.49,598,22.31,22.21,49,1.74,0,,,,
16398,"Peanut butter, smooth style, without salt",51.36,5,10.49,598,22.31,22.21,49,1.74,0,,,,
16150,"Peanut butter, smooth, reduced fat",34,5.2,9.28,520,35.65,25.9,35,1.9,0,,,,
16155,"Peanut butter, smooth, vitamin and mineral fortified",50.81,5.6,10.47,591,18.75,25.72,43,16.6,0,,,,
16099,"Peanut flour, defatted",0.55,15.8,8.22,327,34.7,52.2,140,2.1,0,,,,
16149,"Peanut spread, reduced sugar",54.89,7.8,6.35,650,14.23,24.8,72,2.84,0,,,,
16088,"Peanuts, all types, cooked, boiled, with salt",22.01,8.8,2.47,318,21.26,13.5,55,1.01,0,,,,
16090,"Peanuts, all types, dry-roasted, with salt",49.66,8.4,4.9,587,21.26,24.35,58,1.58,0,,,,
16390,"Peanuts, all types, dry-roasted, without salt",49.66,8.4,4.9,587,21.26,24.35,58,1.58,0,,,,
16089,"Peanuts, all types, oil-roasted, with salt",52.5,9.4,4.18,599,15.26,28.03,61,1.52,0.8,,,,
16389,"Peanuts, all types, oil-roasted, without salt",52.5,9.4,4.18,599,15.26,28.03,61,1.52,0.8,,,,
16087,"Peanuts, all types, raw",49.24,8.5,4.72,567,16.13,25.8,92,4.58,0,,,,
16095,"Peanuts, virginia, raw",48.75,8.5,3.95,563,16.54,25.19,89,2.55,0,,,,
9408,"Pear nectar, canned, with added ascorbic acid",0.01,0.6,15.16,60,15.76,0.11,5,0.26,27,,,,
9262,"Pear nectar, canned, without added ascorbic acid",0.01,0.6,15.16,60,15.76,0.11,5,0.26,1.1,,,,
9340,"Pears, asian, raw",0.23,3.6,7.05,42,10.65,0.5,4,0,3.8,,,,
9257,"Pears, canned, heavy syrup pack, solids and liquids",0.13,1.6,15.2,74,19.17,0.2,5,0.22,1.1,,,,
9374,"Pears, canned, heavy syrup, drained",0.18,2.7,16.42,74,19.08,0.24,6,0.22,1.1,,,,
9254,"Pears, canned, juice pack, solids and liquids",0.07,1.6,9.7,50,12.94,0.34,9,0.29,1.6,,,,
9256,"Pears, canned, light syrup pack, solids and liquids",0.03,1.6,12.1,57,15.17,0.19,5,0.28,0.7,,,,
9253,"Pears, canned, water pack, solids and liquids",0.03,1.6,6.1,29,7.81,0.19,4,0.21,1,,,,
9260,"Pears, dried, sulfured, stewed, without added sugar",0.31,6.4,27.41,127,33.81,0.91,16,1.02,4,,,,
9259,"Pears, dried, sulfured, uncooked",0.63,7.5,62.2,262,69.7,1.87,34,2.1,7,,,,
9252,"Pears, raw",0.14,3.1,9.75,57,15.23,0.36,9,0.18,4.3,,,,
9412,"Pears, raw, bartlett",0.16,3.1,9.69,63,15.01,0.39,9,0.19,4.4,,,,
9414,"Pears, raw, bosc",0.09,3.1,10.23,67,16.1,0.36,10,0.15,2.8,,,,
9415,"Pears, raw, green anjou",0.1,3.1,9.73,66,15.79,0.44,11,0.24,4.4,,,,
9413,"Pears, raw, red anjou",0.14,3,9.54,62,14.94,0.33,11,0.19,5.2,,,,
11816,"Peas and carrots, canned, no salt added, solids and liquids",0.27,3.3,2.83,38,8.48,2.17,23,0.75,6.6,,,,
11817,"Peas and carrots, frozen, cooked, boiled, drained, with salt",0.42,3.1,4.36,48,10.12,3.09,23,0.94,8.1,,,,
11323,"Peas and carrots, frozen, cooked, boiled, drained, without salt",0.42,3.1,4.36,48,10.12,3.09,23,0.94,8.1,,,,
11818,"Peas and onions, frozen, cooked, boiled, drained, with salt",0.2,2.2,3.77,45,8.63,2.54,14,0.94,6.9,,,,
11327,"Peas and onions, frozen, cooked, boiled, drained, without salt",0.2,2.2,3.77,45,8.63,2.54,14,0.94,6.9,,,,
11301,"Peas, edible-podded, boiled, drained, without salt",0.23,2.8,3.99,42,7.05,3.27,42,1.97,47.9,,,,
11809,"Peas, edible-podded, cooked, boiled, drained, with salt",0.23,2.8,3.99,40,6.46,3.27,42,1.97,47.9,,,,
11810,"Peas, edible-podded, frozen, cooked, boiled, drained, with salt",0.38,3.1,4.82,50,8.43,3.5,59,2.4,22,,,,
11303,"Peas, edible-podded, frozen, cooked, boiled, drained, without salt",0.38,3.1,4.82,52,9.02,3.5,59,2.4,22,,,,
11300,"Peas, edible-podded, raw",0.2,2.6,4,42,7.55,2.8,43,2.08,60,,,,
11308,"Peas, green (includes baby and lesuer types), canned, drained solids, unprepared",0.8,4.9,2.99,68,11.36,4.47,23,1.18,4.2,,,,
11813,"Peas, green, canned, no salt added, drained solids",0.35,4.1,4.16,69,12.58,4.42,20,0.95,9.6,,,,
11812,"Peas, green, canned, no salt added, solids and liquids",0.3,3.3,3.2,53,9.75,3.19,18,1.02,9.8,,,,
11306,"Peas, green, canned, regular pack, solids and liquids",0.48,3.3,3.2,58,10.6,3.01,20,1.29,7.8,,,,
11811,"Peas, green, cooked, boiled, drained, with salt",0.22,5.5,5.93,84,15.63,5.36,27,1.54,14.2,,,,
11305,"Peas, green, cooked, boiled, drained, without salt",0.22,5.5,5.93,84,15.63,5.36,27,1.54,14.2,,,,
11814,"Peas, green, frozen, cooked, boiled, drained, with salt",0.27,4.5,4.4,78,14.26,5.15,24,1.52,9.9,,,,
11313,"Peas, green, frozen, cooked, boiled, drained, without salt",0.27,4.5,4.4,78,14.26,5.15,24,1.52,9.9,,,,
11312,"Peas, green, frozen, unprepared",0.4,4.5,5,77,13.62,5.22,22,1.53,18,,,,
11304,"Peas, green, raw",0.4,5.7,5.67,81,14.45,5.42,25,1.47,40,,,,
16085,"Peas, green, split, mature seeds, raw",1.16,25.5,8,352,63.74,23.82,37,4.82,1.8,,,,
16386,"Peas, split, mature seeds, cooked, boiled, with salt",0.39,8.3,2.9,116,20.51,8.34,14,1.29,0.4,,,,
16086,"Peas, split, mature seeds, cooked, boiled, without salt",0.39,8.3,2.9,118,21.1,8.34,14,1.29,0.4,,,,
11976,"Pepper, banana, raw",0.45,3.4,1.95,27,5.35,1.66,14,0.46,82.7,,,,
11962,"Peppers, hot chile, sun-dried",5.81,28.7,41.06,324,69.86,10.58,45,6.04,31.4,,,,
11329,"Peppers, hot chili, green, canned, pods, excluding seeds, solids and liquids",0.1,1.3,3.12,21,5.1,0.9,7,0.5,68,,,,
11670,"Peppers, hot chili, green, raw",0.2,1.5,5.1,40,9.46,2,18,1.2,242.5,,,,
11820,"Peppers, hot chili, red, canned, excluding seeds, solids and liquids",0.1,1.3,3.32,21,5.1,0.9,7,0.5,68,,,,
11819,"Peppers, hot chili, red, raw",0.44,1.5,5.3,40,8.81,1.87,14,1.03,143.7,,,,
31034,"Peppers, hot pickled, canned",0.4,2.6,1.6,22,4.56,0.8,61,0.32,12.3,,,,
11981,"Peppers, hungarian, raw",0.41,1,3.53,29,6.7,0.8,12,0.46,92.9,,,,
11632,"Peppers, jalapeno, canned, solids and liquids",0.94,2.6,2.14,27,4.74,0.92,23,1.88,10,,,,
11979,"Peppers, jalapeno, raw",0.37,2.8,4.12,29,6.5,0.91,12,0.25,118.6,,,,
11977,"Peppers, serrano, raw",0.44,3.7,3.83,32,6.7,1.74,11,0.86,44.9,,,,
11822,"Peppers, sweet, green, cooked, boiled, drained, with salt",0.2,1.2,3.19,26,6.11,0.92,9,0.46,74.4,,,,
11334,"Peppers, sweet, green, cooked, boiled, drained, without salt",0.2,1.2,3.19,28,6.7,0.92,9,0.46,74.4,,,,
11634,"Peppers, sweet, green, freeze-dried",3,21.3,38.48,314,68.7,17.9,134,10.4,1900,,,,
11333,"Peppers, sweet, green, raw",0.17,1.7,2.4,20,4.64,0.86,10,0.34,80.4,,,,
11339,"Peppers, sweet, green, sauteed",11.85,1.8,2.17,127,4.22,0.78,8,0.3,177,,,,
11824,"Peppers, sweet, red, cooked, boiled, drained, with salt",0.2,1.2,4.39,26,6.11,0.92,9,0.46,171,,,,
11823,"Peppers, sweet, red, cooked, boiled, drained, without salt",0.2,1.2,4.39,28,6.7,0.92,9,0.46,171,,,,
11931,"Peppers, sweet, red, freeze-dried",3,21.3,40.77,314,68.7,17.9,134,10.4,1900,,,,
11919,"Peppers, sweet, red, frozen, chopped, boiled, drained, with salt",0.18,0.8,2.86,16,3.31,0.95,8,0.52,41.2,,,,
11918,"Peppers, sweet, red, frozen, chopped, boiled, drained, without salt",0.18,0.8,2.86,16,3.31,0.95,8,0.52,41.2,,,,
11917,"Peppers, sweet, red, frozen, chopped, unprepared",0.21,1.6,3.26,20,4.45,1.08,9,0.62,58.7,,,,
11821,"Peppers, sweet, red, raw",0.3,2.1,4.2,31,6.03,0.99,7,0.43,127.7,,,,
11921,"Peppers, sweet, red, sauteed",12.75,1.8,4.28,133,6.57,1.04,7,0.47,162.8,,,,
