NDB_NO,Description,Fat (g),Fiber (g),Sugars (g),Energy (kcal),Carbohydrate (g),Protein (g),Calcium (mg),Iron (mg),Vitamin C (mg),,,,
16029,"Beans, kidney, all types, mature seeds, canned",0.6,4.3,1.85,84,14.5,5.22,34,1.17,1.2,,,,
16328,"Beans, kidney, all types, mature seeds, cooked, boiled, with salt",0.5,6.4,0.32,127,22.8,8.67,28,2.94,1.2,,,,
16028,"Beans, kidney, all types, mature seeds, cooked, boiled, without salt",0.5,6.4,0.32,127,22.8,8.67,35,2.22,1.2,,,,
16027,"Beans, kidney, all types, mature seeds, raw",0.83,24.9,2.23,333,60.01,23.58,143,8.2,4.5,,,,
16145,"Beans, kidney, red, mature seeds, canned, drained solids",1.05,5.5,3.8,124,21.49,7.98,57,1.5,0.2,,,,
16337,"Beans, kidney, red, mature seeds, canned, solids and liquid, low sodium",0.36,5.3,1.85,81,14.83,5.22,29,1.25,0.8,,,,
16034,"Beans, kidney, red, mature seeds, canned, solids and liquids",0.36,4.3,1.85,81,14.83,5.22,29,1.25,0.8,,,,
16333,"Beans, kidney, red, mature seeds, cooked, boiled, with salt",0.5,7.4,0.32,127,22.8,8.67,28,2.94,1.2,,,,
16033,"Beans, kidney, red, mature seeds, cooked, boiled, without salt",0.5,7.4,0.32,127,22.8,8.67,28,2.94,1.2,,,,
16032,"Beans, kidney, red, mature seeds, raw",1.06,15.2,2.1,337,61.29,22.53,83,6.69,4.5,,,,
43125,"Beans, liquid from stewed kidney beans",3.2,0.1,0,47,2.8,1.8,13,1.96,0,,,,
11626,"Beans, mung, mature seeds, sprouted, canned, drained solids",0.06,0.8,0.7,12,2.14,1.4,14,0.43,0.3,,,,
16039,"Beans, navy, mature seeds, canned",0.43,5.1,0.28,113,20.45,7.53,47,1.85,0.7,,,,
16338,"Beans, navy, mature seeds, cooked, boiled, with salt",0.62,10.5,0.37,140,26.05,8.23,69,2.36,0.9,,,,
16038,"Beans, navy, mature seeds, cooked, boiled, without salt",0.62,10.5,0.37,140,26.05,8.23,69,2.36,0.9,,,,
16341,"Beans, pink, mature seeds, cooked, boiled, with salt",0.49,5.3,0.36,149,27.91,9.06,52,2.3,0,,,,
16041,"Beans, pink, mature seeds, cooked, boiled, without salt",0.49,5.3,0.36,149,27.91,9.06,52,2.3,0,,,,
16040,"Beans, pink, mature seeds, raw",1.13,12.7,2.14,343,64.19,20.96,130,6.77,0,,,,
16146,"Beans, pinto, canned, drained solids",0.9,5.5,0.54,114,20.22,6.99,63,1.33,0.1,,,,
16044,"Beans, pinto, mature seeds, canned, solids and liquids",0.56,4.6,1.02,82,15.18,4.6,47,1.47,0.7,,,,
16347,"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",0.56,4.6,1.02,82,15.18,4.6,47,1.47,0.7,,,,
16343,"Beans, pinto, mature seeds, cooked, boiled, with salt",0.65,9,0.34,143,26.22,9.01,46,2.09,0.8,,,,
16043,"Beans, pinto, mature seeds, cooked, boiled, without salt",0.65,9,0.34,143,26.22,9.01,46,2.09,0.8,,,,
16042,"Beans, pinto, mature seeds, raw",1.23,15.5,2.11,347,62.55,21.42,113,5.07,6.3,,,,
11050,"Beans, shellie, canned, solids and liquids",0.19,3.4,0.63,30,6.19,1.76,29,0.99,3.1,,,,
11729,"Beans, snap, green, canned, no salt added, drained solids",0.46,1.9,0.78,22,4.32,1.12,38,1.06,2.8,,,,
11056,"Beans, snap, green, canned, regular pack, drained solids",0.41,1.9,1.44,21,4.19,1.05,37,0.89,2.8,,,,
11054,"Beans, snap, green, canned, regular pack, solids and liquids",0.17,1.5,1.25,15,3.27,0.72,29,1.02,2.2,,,,
11723,"Beans, snap, green, cooked, boiled, drained, with salt",0.28,3.2,3.63,35,7.88,1.89,44,0.65,9.7,,,,
11053,"Beans, snap, green, cooked, boiled, drained, without salt",0.28,3.2,3.63,35,7.88,1.89,44,0.65,9.7,,,,
11062,"Beans, snap, green, frozen, all styles, microwaved",0.41,3.4,2.6,40,6.98,1.98,61,0.8,11,,,,
11060,"Beans, snap, green, frozen, all styles, unprepared",0.21,2.6,2.21,39,7.54,1.79,42,0.85,12.9,,,,
11061,"Beans, snap, green, frozen, cooked, boiled, drained without salt",0.17,3,1.88,28,6.45,1.49,42,0.66,4.1,,,,
11731,"Beans, snap, green, frozen, cooked, boiled, drained, with salt",0.17,3,1.88,28,6.45,1.49,42,0.66,4.1,,,,
11063,"Beans, snap, green, microwaved",0.5,3.4,3.22,39,6.41,2.31,55,0.83,7.3,,,,
11052,"Beans, snap, green, raw",0.22,2.7,3.26,31,6.97,1.83,37,1.03,12.2,,,,
11933,"Beans, snap, yellow, canned, no salt added, drained solids",0.1,1.3,0.78,20,4.5,1.15,26,0.9,4.8,,,,
11728,"Beans, snap, yellow, canned, no salt added, solids and liquids",0.1,1.5,0.62,15,3.5,0.8,24,0.9,4,,,,
11932,"Beans, snap, yellow, canned, regular pack, drained solids",0.1,1.3,0.78,20,4.5,1.15,26,0.9,4.8,,,,
11727,"Beans, snap, yellow, canned, regular pack, solids and liquids",0.1,1.5,0.62,15,3.5,0.8,24,0.9,3.4,,,,
11725,"Beans, snap, yellow, cooked, boiled, drained, with salt",0.28,3.3,3.63,35,7.88,1.89,46,1.28,9.7,,,,
11724,"Beans, snap, yellow, cooked, boiled, drained, without salt",0.28,3.3,3.63,35,7.88,1.89,46,1.28,9.7,,,,
11730,"Beans, snap, yellow, frozen, all styles, unprepared",0.21,2.8,2.22,33,7.58,1.8,42,0.86,12.9,,,,
11733,"Beans, snap, yellow, frozen, cooked, boiled, drained, with salt",0.17,3,1.88,28,6.45,1.49,49,0.88,4.1,,,,
11732,"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",0.17,3,1.88,28,6.45,1.49,49,0.88,4.1,,,,
11722,"Beans, snap, yellow, raw",0.12,3.4,3.27,31,7.13,1.82,37,1.04,16.3,,,,
16350,"Beans, white, mature seeds, cooked, boiled, with salt",0.35,6.3,0.34,139,25.09,9.73,90,3.7,0,,,,
16050,"Beans, white, mature seeds, cooked, boiled, without salt",0.35,6.3,0.34,139,25.09,9.73,90,3.7,0,,,,
16049,"Beans, white, mature seeds, raw",0.85,15.2,2.11,333,60.27,23.36,240,10.44,0,,,,
16348,"Beans, yellow, mature seeds, cooked, boiled, with salt",1.08,10.4,0.34,144,25.28,9.16,62,2.48,1.8,,,,
16048,"Beans, yellow, mature seeds, cooked, boiled, without salt",1.08,10.4,0.34,144,25.28,9.16,62,2.48,1.8,,,,
11736,"Beet greens, cooked, boiled, drained, with salt",0.2,2.9,0.6,27,5.46,2.57,114,1.9,24.9,,,,
11087,"Beet greens, cooked, boiled, drained, without salt",0.2,2.9,0.6,27,5.46,2.57,114,1.9,24.9,,,,
11086,"Beet greens, raw",0.13,3.7,0.5,22,4.33,2.2,117,2.57,30,,,,
11084,"Beets, canned, drained solids",0.14,1.8,5.51,31,7.21,0.91,15,1.82,4.1,,,,
11735,"Beets, canned, no salt added, solids and liquids",0.07,1.2,5.38,28,6.57,0.8,13,0.63,2.8,,,,
11082,"Beets, canned, regular pack, solids and liquids",0.09,1.2,6.53,30,7.14,0.73,18,0.73,2.8,,,,
11081,"Beets, cooked, boiled, drained",0.18,2,7.96,44,9.96,1.68,16,0.79,3.6,,,,
11734,"Beets, cooked, boiled. drained, with salt",0.18,2,7.96,44,9.96,1.68,16,0.79,3.6,,,,
11609,"Beets, pickled, canned, solids and liquids",0.08,0.8,11.05,65,16.28,0.8,11,0.41,2.3,,,,
11080,"Beets, raw",0.17,2.8,6.76,43,9.56,1.61,16,0.8,4.9,,,,
43205,"Beverage, instant breakfast powder, chocolate, not reconstituted",1.4,0.4,65.8,353,66.2,19.9,285,12.82,76.9,,,,
43260,"Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",5.1,2,39,358,41,35.8,500,2.3,138,,,,
9046,"Blackberries, canned, heavy syrup, solids and liquids",0.14,3.4,19.7,92,23.1,1.31,21,0.65,2.8,,,,
9048,"Blackberries, frozen, unsweetened",0.43,5,10.67,64,15.67,1.18,29,0.8,3.1,,,,
9042,"Blackberries, raw",0.49,5.3,4.88,43,9.61,1.39,29,0.62,21,,,,
9043,"Blackberry juice, canned",0.6,0.1,7.7,38,7.8,0.3,12,0.48,11.3,,,,
9052,"Blueberries, canned, heavy syrup, solids and liquids",0.33,1.6,20.46,88,22.06,0.65,5,0.33,1.1,,,,
9352,"Blueberries, canned, light syrup, drained",0.4,2.6,17.45,88,22.66,1.04,6,0.43,0.5,,,,
9163,"Blueberries, dried, sweetened",2.5,7.5,67.5,317,80,2.5,19,0.9,23.8,,,,
9055,"Blueberries, frozen, sweetened",0.13,2.2,19.72,85,21.95,0.4,6,0.39,1,,,,
9054,"Blueberries, frozen, unsweetened",0.64,2.7,8.45,51,12.17,0.42,8,0.18,2.5,,,,
9050,"Blueberries, raw",0.33,2.4,9.96,57,14.49,0.74,6,0.28,9.7,,,,
9353,"Blueberries, wild, canned, heavy syrup, drained",0.34,4.9,19.28,107,28.32,0.56,19,2.2,0.3,,,,
9057,"Boysenberries, frozen, unsweetened",0.26,5.3,6.89,50,12.19,1.1,27,0.85,3.1,,,,
9059,"Breadfruit, raw",0.23,4.9,11,103,27.12,1.07,17,0.54,29,,,,
16353,"Broadbeans (fava beans), mature seeds, cooked, boiled, with salt",0.4,5.4,1.82,110,19.65,7.6,36,1.5,0.3,,,,
16053,"Broadbeans (fava beans), mature seeds, cooked, boiled, without salt",0.4,5.4,1.82,110,19.65,7.6,36,1.5,0.3,,,,
16052,"Broadbeans (fava beans), mature seeds, raw",1.53,25,5.7,341,58.29,26.12,103,6.7,1.4,,,,
11097,"Broccoli raab, cooked",0.52,2.8,0.62,33,3.12,3.83,118,1.27,37,,,,
11096,"Broccoli raab, raw",0.49,2.7,0.38,22,2.85,3.17,108,2.14,20.2,,,,
11969,"Broccoli, chinese, cooked",0.72,2.5,0.84,22,3.81,1.14,100,0.56,28.2,,,,
11742,"Broccoli, cooked, boiled, drained, with salt",0.41,3.3,1.39,35,7.18,2.38,40,0.67,64.9,,,,
11091,"Broccoli, cooked, boiled, drained, without salt",0.41,3.3,1.39,35,7.18,2.38,40,0.67,64.9,,,,
11740,"Broccoli, flower clusters, raw",0.35,2.3,1.48,28,5.06,2.98,48,0.88,93.2,,,,
11743,"Broccoli, frozen, chopped, cooked, boiled, drained, with salt",0.12,3,1.47,28,5.35,3.1,33,0.61,40.1,,,,
11093,"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",0.12,3,1.47,28,5.35,3.1,33,0.61,40.1,,,,
11092,"Broccoli, frozen, chopped, unprepared",0.29,3,1.35,26,4.78,2.81,56,0.81,56.4,,,,
11744,"Broccoli, frozen, spears, cooked, boiled, drained, with salt",0.11,3,1.44,28,5.35,3.1,51,0.61,40.1,,,,
11095,"Broccoli, frozen, spears, cooked, boiled, drained, without salt",0.11,3,1.47,28,5.36,3.1,51,0.61,40.1,,,,
11094,"Broccoli, frozen, spears, unprepared",0.34,3,1.47,29,5.35,3.06,41,0.72,68.3,,,,
